id,english_expression,key_expression,korean_translation,category,source
435,"Hey, is this a good time to go over the numbers?",is this a good time,지금 숫자 검토하기 괜찮아?,Meetings,guseul
436,Did I catch you at a bad time? I can call back later.,Did I catch you at a bad time?,바쁠 때 전화했어? 나중에 다시 전화해도 돼.,Email & Phone,guseul
437,Sorry to call so late. I just wanted to check in.,Sorry to call so late,이렇게 늦게 전화해서 미안. 그냥 잘 있나 확인하고 싶어서.,Work & Office,guseul
438,Sorry to call so early. Something urgent came up.,Sorry to call so early,이렇게 일찍 전화해서 미안. 급한 일이 생겼어.,Work & Office,guseul
439,May I ask who's calling? She's here but just stepped out.,May I ask who's calling?,실례지만 누구시죠? 계시긴 한데 잠깐 자리를 비우셨어요.,Email & Phone,guseul
440,May I ask what this is regarding? I'll pass along the message.,May I ask what this is regarding?,무슨 건으로 연락하셨나요? 전달해드릴게요.,Work & Office,guseul
441,She's not available at the moment. Can I take a message?,at the moment,지금 자리를 비우셨어요. 메모 남겨드릴까요?,Email & Phone,guseul
442,When can I expect to hear from you about the contract?,When can I expect to hear from you,계약 관련해서 언제쯤 연락 주실 거라고 생각하면 될까요?,Email & Phone,guseul
443,We'll be in touch once we've made a decision.,be in touch,결정이 나는 대로 연락드릴게요.,Work & Office,guseul
444,Can you send me the files ASAP? It's urgent.,ASAP,파일을 최대한 빨리 보내줄 수 있어? 급해.,Email & Phone,guseul
445,Please don't hesitate to contact us with any concerns.,hesitate,우려되는 점이 있으시면 주저 말고 연락 주세요.,Work & Office,guseul
446,Feel free to drop by anytime.,Feel free to,언제든지 편하게 들러요.,Work & Office,guseul
447,It was really nice talking to you today. Let's do it again.,was really nice talking to you,오늘 대화 정말 좋았어. 또 이야기하자.,Work & Office,guseul
448,You stayed late to help me finish this. You're the best!,You're the best,늦게까지 남아서 도와줬잖아. 최고야!,Work & Office,guseul
449,We haven't spoken in months. We really need to catch up.,catch up,몇 달째 얘기를 못 했어. 진짜 밀린 얘기 나눠야 해.,Social,guseul
450,Let's all get together before the holidays.,get together,명절 전에 다 같이 모이자.,Social,guseul
451,I actually find public speaking kind of exciting.,find,나는 사실 발표하는 게 좀 신난다고 생각해.,Work & Office,guseul
452,The timeline is tight but I think it's doable.,doable,일정이 촉박하지만 할 수 있을 것 같아.,Work & Office,guseul
453,Did you sleep at all? You look exhausted.,at all,조금이라도 잤어? 너무 피곤해 보여.,Emotions & Opinions,guseul
454,If there's anything at all I can help with just say so.,at all,조금이라도 도울 수 있는 게 있으면 말해줘.,Work & Office,guseul
455,Can I call you back? I'm in the middle of cooking dinner.,in the middle of cooking,다시 전화해도 될까? 지금 저녁 만들고 있어.,Email & Phone,guseul
456,I didn't mean to leave you out. I'm really sorry.,I didn't mean to,일부러 너를 빼려고 한 게 아니었어. 정말 미안해.,Work & Office,guseul
457,The cleaning can wait. Let's go for a walk.,wait,청소는 나중에 해도 돼. 산책 가자.,Work & Office,guseul
458,We need to go over the contract before signing.,go over,서명하기 전에 계약서를 검토해야 해.,Meetings,guseul
459,I'm sorry you had to go through all of this alone.,go through,이 모든 걸 혼자 겪어야 했다니 정말 유감이야.,Work & Office,guseul
460,I'll go with the blue one. It's more my style.,go with,파란 걸로 할게. 내 스타일에 더 맞아.,Work & Office,guseul
461,You look pale. You should really get some rest.,get some rest,얼굴이 창백해. 좀 쉬는 게 좋겠어.,Work & Office,guseul
462,I finally got what she was trying to say.,got what she was trying to say,그녀가 하려던 말을 드디어 이해했어.,Work & Office,guseul
463,I got my sister to proofread my essay.,got my sister to,여동생한테 내 에세이 교정 봐달라고 했어.,Work & Office,guseul
464,I've been staring at the screen for hours. I need to take a break.,take a break,몇 시간째 화면만 쳐다보고 있어. 좀 쉬어야겠어.,Work & Office,guseul
465,Don't worry. I'll take it from here.,take it from here,걱정 마. 여기서부터는 내가 맡아서 할게.,Work & Office,guseul
466,My boss took the whole team out for dinner.,took the whole team out,팀장님이 팀 전체를 저녁 대접해주셨어.,Social,guseul
467,I'm the one who made the call so I'll take responsibility.,take responsibility,내가 결정한 거니까 내가 책임질게.,Work & Office,guseul
468,You should take advantage of the fact that you're young.,take advantage of,젊다는 걸 최대한 활용해야 해.,Work & Office,guseul
469,Thank you so much for your hospitality. We loved every minute.,hospitality,진심으로 환대해주셔서 감사해요. 정말 즐거운 시간이었어요.,Daily Life,guseul
470,The event's over. I think I'm going to take off.,take off,행사 끝났네. 이제 가봐야 할 것 같아.,Work & Office,guseul
471,You must be starving. Let me get you something to eat.,must be starving,배가 엄청 고프겠다. 뭐 좀 가져다줄게.,Work & Office,guseul
472,Her colleagues speak very highly of her work ethic.,speak very highly of,동료들이 그녀의 직업의식에 대해 정말 좋게 얘기해.,Work & Office,guseul
473,That color suits you perfectly.,suit,그 색이 너한테 정말 잘 어울려.,Work & Office,guseul
474,If you don't mind me asking how long have you two been together?,If you don't mind me asking,"이런 걸 여쭤봐도 될지 모르겠지만, 두 분이 사귄 지 얼마나 됐어요?",Work & Office,guseul
475,Hey how was your day? Looked stressful from the outside.,how was your day?,"야, 오늘 하루 어땠어? 밖에서 봤는데 힘들어 보이던데.",Work & Office,guseul
476,"How's work? Same old, same old, honestly.","Same old, same old",일은 어때? 솔직히 늘 똑같지 뭐.,Work & Office,guseul
477,Do you have plans this Saturday? We're having a get-together.,have plans,이번 토요일에 약속 있어? 우리 모임 하거든.,Work & Office,guseul
478,I can't live with a neat freak. I like my mess.,neat freak,지나치게 깔끔 떠는 사람이랑은 못 살겠어. 나는 좀 어질러도 돼.,Work & Office,guseul
479,She's going to freak out when she hears this news.,freak out,이 소식 들으면 그녀가 엄청 놀랄 거야.,Work & Office,guseul
480,That ramen shop down the street is legit. You have to try it.,legit,길 아래 그 라멘 가게 진짜 맛있어. 꼭 먹어봐야 해.,Work & Office,guseul
481,The quality isn't great but at least it was cheap.,cheap,품질은 별로지만 그래도 저렴하긴 했어.,Work & Office,guseul
482,I was surprised how affordable that hotel was.,affordable,그 호텔이 얼마나 가격이 합리적인지 놀랐어.,Work & Office,guseul
483,This coffee tastes a bit weird. Did you put salt in it?,weird,이 커피 맛이 좀 이상한데. 소금 넣었어?,Social,guseul
484,You've been acting weird since this morning. What happened?,weird,아침부터 좀 이상하게 행동하는 것 같아. 무슨 일이야?,Work & Office,guseul
485,I'm kind of nervous about tomorrow's presentation.,kind of,내일 발표가 좀 떨려.,Meetings,guseul
486,Sorry about the mess. I wasn't expecting company.,mess,어질러져 있어서 미안. 손님이 올 줄 몰랐어.,Work & Office,guseul
487,Don't mess this up. It's your last chance.,mess this up,이거 망치지 마. 마지막 기회야.,Work & Office,guseul
488,I saw this coming a mile away. We should have fixed it sooner.,I saw this coming,진작부터 이럴 줄 알았어. 더 일찍 고쳤어야 했는데.,Work & Office,guseul
489,What brings you here? I didn't know you were in town.,What brings you here?,여긴 어쩐 일이야? 네가 이쪽에 있는 줄 몰랐어.,Work & Office,guseul
490,I'd rather talk about this in person than over text.,in person,이건 문자보다 직접 만나서 얘기하는 게 좋을 것 같아.,Work & Office,guseul
491,I've been trying to reach my landlord but he's not picking up.,reach,집주인한테 계속 연락하려 하는데 전화를 안 받아.,Daily Life,guseul
492,I'm not really in the mood for going out tonight.,not really in the mood for going,오늘 밤 밖에 나가고 싶은 기분이 아니야.,Work & Office,guseul
493,Is there anything I can do? Just let me know.,Is there anything I can do?,내가 뭔가 해줄 수 있는 게 있어? 말만 해줘.,Work & Office,guseul
494,Is there anything else I should know before the meeting?,else,회의 전에 제가 더 알아야 할 게 있나요?,Meetings,guseul
495,Let me check with the team and I'll get back to you.,get back to,팀에 확인하고 다시 연락드릴게요.,Work & Office,guseul
496,Accounting is a bit outside my area of expertise.,area of expertise,회계는 제 전문 분야에서 조금 벗어나요.,Work & Office,guseul
497,Thank you for taking time out of your busy schedule to meet with us.,Thank you for taking time out of your busy schedule,바쁘신데 저희 만남을 위해 시간 내주셔서 정말 감사드립니다.,Daily Life,guseul
498,We're almost done. Let's wrap this up and call it a day.,wrap this up,거의 다 됐어. 마무리하고 집에 가자.,Meetings,guseul
499,It's been a long day. Let's just call it a night.,call it a night,오늘 정말 긴 하루였어. 이제 마무리하고 집에 가자.,Work & Office,guseul
500,I have to run some errands after work. I'll be home late.,errand,퇴근 후에 볼일이 좀 있어. 늦게 들어올 거야.,Work & Office,guseul
501,I know I let you down. Let me make it up to you with dinner.,make it up to,실망시킨 거 알아. 저녁 대접하는 걸로 만회할게.,Social,guseul
502,Don't worry about the bill. It's my treat.,treat,계산 걱정 마. 내가 대접할게.,Social,guseul
503,Get whatever you want. This round's on me.,on me,먹고 싶은 거 다 시켜. 이번 건 내가 쏠게.,Social,guseul
504,Please let me drive you home. I insist.,I insist,집까지 바래다드릴게요. 거절 마세요.,Work & Office,guseul
505,You helped me move last year. It's the least I can do.,It's the least I can do,작년에 이사 도와줬잖아. 이 정도는 해줘야지.,Work & Office,guseul
506,We understand it was an honest mistake. Let's figure out how to fix it.,honest mistake,의도치 않은 실수였다는 거 이해해. 어떻게 고칠지 생각해보자.,Work & Office,guseul
507,You gave a solid presentation today. Really well done.,solid,오늘 발표 정말 탄탄했어. 잘했어.,Meetings,guseul
508,Thanks for the heads up about the schedule change. I'll plan accordingly.,Thanks for the heads up,일정 변경 미리 알려줘서 고마워. 그에 맞게 계획할게.,Work & Office,guseul
509,Please RSVP by this Friday so we can book the right number of seats.,RSVP,좌석 예약을 위해 이번 주 금요일까지 참석 여부 알려주세요.,Email & Phone,guseul
510,Of course I'll come to your graduation. I'll be there.,I'll be there,당연히 졸업식 갈게. 거기 있을게.,Social,guseul
511,I really tried to make it to your recital. I'm so sorry I couldn't.,make,정말 발표회에 가려고 했는데. 못 가서 너무 미안해.,Work & Office,guseul
512,Did you get a chance to speak with the manager about that?,Did you get a chance to,매니저한테 그 얘기 할 기회가 있었어?,Work & Office,guseul
513,If you don't mind me asking how did you two meet?,If you don't mind me asking,"이런 걸 여쭤봐도 될지 모르겠지만, 두 분은 어떻게 만나셨어요?",Work & Office,guseul
514,With all due respect I think we're missing the bigger picture.,With all due respect,외람된 말씀이지만 더 큰 그림을 놓치고 있는 것 같아요.,Work & Office,guseul
515,Can you send this over by today if possible?,if possible,가능하다면 오늘 중으로 보내줄 수 있어?,Email & Phone,guseul
516,I was wondering if you'd have time to look over my resume.,I was wondering if,제 이력서를 검토할 시간이 있으실지 궁금했어요.,Work & Office,guseul
517,No problem at all. It was my pleasure.,thank you,전혀요. 제가 더 좋았는걸요.,Work & Office,guseul
518,I hope you're doing well. It's been a while since we last spoke.,doing,잘 지내고 계시길 바랍니다. 마지막으로 연락한 지 꽤 됐네요.,Work & Office,guseul
519,I hope you're having a great week so far. Just wanted to check in.,having,이번 주도 좋은 한 주 보내고 계시길 바랍니다. 안부 전하려고 연락드렸어요.,Work & Office,guseul
520,It's so great to hear from you. It's been ages!,It's so great to hear from you,연락이 와서 너무 반가워. 정말 오랜만이다!,Email & Phone,guseul
521,Oh my gosh what a nice surprise! I didn't know you were coming.,what a nice surprise!,세상에 이런 반가운 일이! 올 줄 몰랐어.,Work & Office,guseul
522,Please see the attached invoice for your reference.,attach,참고용으로 첨부한 청구서를 확인 부탁드립니다.,Email & Phone,guseul
523,I'll CC the rest of the team so everyone's up to date.,CC the team,모두가 최신 내용을 알 수 있도록 팀 전체를 참조인으로 추가할게요.,Email & Phone,guseul
524,Can you forward me the original email thread?,forward,원래 이메일 스레드 저한테 전달해줄 수 있어요?,Email & Phone,guseul
525,I just wanted to follow up and see if you'd had a chance to review the proposal.,follow up,제안서 검토할 기회가 있으셨는지 확인차 연락드렸어요.,Email & Phone,guseul
526,Do you have any follow-up questions I can help with?,follow-up,제가 도움드릴 수 있는 추가 질문이 있으신가요?,Work & Office,guseul
527,Is it okay if I bring a friend to the party?,Is it okay,파티에 친구를 데려와도 괜찮을까요?,Social,guseul
528,Please note that the office will be operating on reduced hours next week.,Please note that,다음 주에 사무실이 단축 운영된다는 점 참고 부탁드립니다.,Email & Phone,guseul
529,I'll make a note of your preference for future reference.,make a note of,향후 참고를 위해 선호하시는 점을 메모해두겠습니다.,Work & Office,guseul
530,Please submit your application by midnight.,submit by midnight,자정까지 지원서를 제출해주세요.,Work & Office,guseul
531,I'll be at my desk until 6 PM if you need to reach me.,until,저는 오후 6시까지 자리에 있을 거예요. 연락 필요하시면 주세요.,Email & Phone,guseul
532,Do you have any further concerns before we proceed?,further,진행하기 전에 추가 우려 사항이 있으신가요?,Meetings,guseul
533,I won't be in the meeting but please keep me in the loop.,keep me in the loop,회의에는 못 가지만 진행 상황 계속 알려줘.,Meetings,guseul
534,I've attached a few examples. I hope this helps!,I hope this helps,예시 몇 가지를 첨부했어요. 도움이 됐으면 좋겠습니다!,Email & Phone,guseul
535,I don't have an answer right now but I'll get back to you as soon as I can.,I'll get back to you as soon as I can,지금 당장 답변 드리기 어렵지만 최대한 빨리 연락드릴게요.,Work & Office,guseul
536,She's turning 30 next month. We're planning a surprise party.,turn,그녀가 다음 달에 30살이 돼. 깜짝 파티를 계획하고 있어.,Social,guseul
537,Wait your turn! Everyone will get a chance.,turn,차례 기다려! 다들 기회가 있을 거야.,Work & Office,guseul
538,The business was struggling but things are starting to turn around.,turn around,사업이 힘들었는데 상황이 나아지기 시작하고 있어.,Daily Life,guseul
539,I really hope things work out for you in your new city.,work out,새 도시에서 다 잘 풀리길 진심으로 바라.,Work & Office,guseul
540,We were nervous about the party but it turned out amazing.,turned out,파티가 걱정됐는데 결과적으로 정말 멋졌어.,Social,guseul
541,What started as a small argument turned into a big fight.,turned into,작은 다툼으로 시작한 게 결국 큰 싸움이 됐어.,Work & Office,guseul
542,Can you turn off the lights on your way out?,turn off,나갈 때 불 꺼줄 수 있어?,Work & Office,guseul
543,I can barely hear the TV. Can you turn it up a bit?,turn it up,TV 소리가 거의 안 들려. 좀 키워줄 수 있어?,Work & Office,guseul
544,She turned down the promotion because of the commute.,turned down,출퇴근 때문에 승진 제안을 거절했어.,Daily Life,guseul
545,I'm gonna have to cancel our plans tonight. I'm so sorry.,I'm gonna have to,오늘 밤 약속을 취소해야 할 것 같아. 정말 미안해.,Work & Office,guseul
546,That message you sent me this morning really made my day.,you sent me this morning really made my day,오늘 아침에 보내준 그 메시지가 정말 하루를 기분 좋게 만들어줬어.,Work & Office,guseul
547,The original file got deleted so I had to start from scratch.,from scratch,원본 파일이 삭제돼서 처음부터 다시 시작해야 했어.,Work & Office,guseul
548,The budget is limited but we'll make it work somehow.,make it work,예산이 제한적이지만 어떻게든 되게 할게.,Work & Office,guseul
549,This is not your decision to make. Please let the team decide.,make,네가 내릴 결정이 아니야. 팀이 결정하도록 해줘.,Work & Office,guseul
550,I don't feel comfortable going alone. Can you come with me?,don't feel comfortable,혼자 가기가 좀 불편해. 같이 가줄 수 있어?,Work & Office,guseul
551,Is the training session mandatory or optional this time?,mandatory or optional,이번 교육은 의무인가요 아니면 선택인가요?,Daily Life,guseul
552,We're making every effort to deliver the project on time.,making every effort to,프로젝트를 제때 납품하기 위해 최선을 다하고 있어요.,Work & Office,guseul
553,You only get two weeks off a year. Make the most of it.,Make the most of,일 년에 휴가가 2주밖에 없잖아. 최대한 잘 써야 해.,Work & Office,guseul
554,Make sure you get there early to save us seats.,Make sure,자리 잡아두게 일찍 가도록 해.,Work & Office,guseul
555,Before we finalize I'd love to get your input on this.,input,확정하기 전에 이 부분에 대한 네 의견을 꼭 듣고 싶어.,Work & Office,guseul
556,Is there any way to expedite the approval process?,expedite,승인 절차를 더 빨리 진행할 수 있는 방법이 있을까요?,Work & Office,guseul
557,Sorry I haven't replied sooner. I've been completely swamped.,swamped,더 빨리 답장 못 해서 미안. 정말 정신없이 바빴어.,Work & Office,guseul
558,I can't take on anything new right now. I'm absolutely slammed.,slammed,지금 새로운 건 맡을 수 없어. 완전히 할 일이 가득해.,Work & Office,guseul
559,You finished it on time despite everything. Give yourself a pat on the back.,Give yourself a pat on the back,그 모든 상황에도 제때 끝냈잖아. 스스로 잘했다고 칭찬해줘.,Work & Office,guseul
560,Thank you for everything. I truly couldn't have done this without you.,couldn't have done this without you,모든 것에 감사해. 정말 너 없이는 할 수 없었을 거야.,Work & Office,guseul
561,The new bakery is just down the street from my office.,down the street,사무실에서 길 아래 바로 새 빵집이 생겼어.,Work & Office,guseul
562,The skills you're learning now will pay off down the road.,down the road,지금 배우고 있는 기술들이 앞으로 도움이 될 거야.,Work & Office,guseul
563,Eating healthy is hard now but it pays off in the long run.,in the long run,지금은 건강하게 먹는 게 힘들지만 장기적으로 보면 효과가 있어.,Work & Office,guseul
564,I'm so frustrated with this slow internet connection.,frustrated,인터넷이 너무 느려서 짜증나.,Emotions & Opinions,guseul
565,I called my teacher 'mom' in front of the whole class. I was so embarrassed.,embarrassed,반 전체 앞에서 선생님을 '엄마'라고 불렀어. 너무 민망했어.,Emotions & Opinions,guseul
566,He was devastated when his proposal got rejected.,devastated,프로포즈가 거절당했을 때 그는 망연자실했어.,Meetings,guseul
567,I can tell you're upset. Do you want to talk about it?,upset,화난 거 알 것 같아. 얘기하고 싶어?,Emotions & Opinions,guseul
568,She was humiliated when her boss corrected her in front of everyone.,humiliated,상사가 모든 사람 앞에서 그녀를 지적했을 때 굴욕적이었어.,Work & Office,guseul
569,It was great catching up but I gotta run. Let's do this again!,I gotta run,얘기 나눠서 좋았는데 가봐야 해. 또 만나자!,Work & Office,guseul
570,I need to run a quick errand. I'll meet you there.,run a quick errand,잠깐 볼일 보고 올게. 거기서 만나자.,Work & Office,guseul
571,I've been running around all day trying to get ready for the trip.,running around,여행 준비하느라 하루 종일 이리저리 뛰어다녔어.,Work & Office,guseul
572,While the director is away I'll be in charge.,be in charge,감독이 없는 동안 제가 담당할게요.,Work & Office,guseul
573,"Sorry, the previous call ran late. I'll be there in 5.",ran late,"죄송해요, 이전 통화가 늦게 끝났어요. 5분 안에 갈게요.",Work & Office,guseul
574,I ran into my college roommate at the airport.,ran into,공항에서 대학교 룸메이트를 우연히 만났어.,Daily Life,guseul
575,We ran into some unexpected delays with the shipment.,ran into,배송에 예상치 못한 지연이 생겼어.,Work & Office,guseul
576,I ran across an old friend while traveling in Europe.,ran across,유럽 여행 중에 오랜 친구를 우연히 만났어.,Work & Office,guseul
577,I ran across a really helpful tip while reading online.,ran across,인터넷 검색하다가 정말 유용한 팁을 우연히 발견했어.,Work & Office,guseul
578,Before I send this can I run it by you quickly?,run it by,이거 보내기 전에 빠르게 네 의견을 물어봐도 될까?,Work & Office,guseul
579,We're running out of coffee. Someone needs to make a run.,run,커피가 다 떨어지고 있어. 누군가 사러 가야 할 것 같아.,Social,guseul
580,Let's quickly run through the key points before the meeting.,run through,회의 전에 핵심 내용을 빠르게 훑어보자.,Meetings,guseul
581,Bear with me for a second. I just need to find the right slide.,Bear with,잠깐만 기다려주세요. 슬라이드를 찾아야 해서요.,Work & Office,guseul
582,It's not that complicated. I'll show you.,not that complicated,그렇게 복잡하지 않아. 보여줄게.,Work & Office,guseul
583,The traffic was bad earlier but it's not that bad now.,not that bad,아까 교통이 막혔는데 지금은 그렇게 나쁘지 않아.,Daily Life,guseul
584,You drove me home last time. I owe you dinner.,owe,저번에 집에 바래다줬잖아. 내가 저녁 살게.,Social,guseul
585,I owe you an explanation. That wasn't fair.,owe,설명을 해야 할 것 같아. 그건 공평하지 않았어.,Work & Office,guseul
586,We need to hit the road early if we want to beat traffic.,hit the road,교통 막히기 전에 일찍 출발해야 해.,Daily Life,guseul
587,He really appreciates the effort you put into this.,appreciate,그는 네가 이 일에 쏟은 노력의 진가를 정말 알아봐.,Work & Office,guseul
588,I really appreciate you taking the time to meet with me.,appreciate,시간 내어 만나주셔서 정말 감사합니다.,Work & Office,guseul
589,The color is blue-ish. It's hard to describe exactly.,-ish,색이 약간 파란색 같아. 정확히 설명하기 어려워.,Work & Office,guseul
590,Is there enough room in the car for all of us?,room,차에 우리 모두가 탈 공간이 충분해?,Work & Office,guseul
591,Leave some room. We're getting dessert later.,room,좀 남겨놔. 나중에 디저트 먹을 거야.,Work & Office,guseul
592,There's no room for mistakes on this one.,room,이번엔 실수할 여유가 없어.,Work & Office,guseul
593,Your writing is strong but there's always room for improvement.,room for improvement,글쓰기 실력은 좋은데 항상 개선할 여지는 있지.,Work & Office,guseul
594,She nailed the audition. I think she's going to get the part.,nailed,오디션을 완벽하게 해냈어. 그 역할을 따낼 것 같아.,Work & Office,guseul
595,That was an impressive comeback in the second half.,impressive,후반전에 인상적인 역전이었어.,Work & Office,guseul
596,After all those years of hard work you deserve this success.,deserve,그 몇 년 동안의 노력 끝에 이 성공을 누릴 자격이 있어.,Work & Office,guseul
597,Atta boy! That's the fastest you've ever run.,Atta,잘했어! 이제까지 가장 빨리 달린 거야.,Work & Office,guseul
598,Let me update my resume before I start applying.,resume,지원하기 전에 이력서를 업데이트해야겠어.,Work & Office,guseul
599,The package is supposed to arrive by Friday.,is supposed to,패키지가 금요일까지 도착하기로 되어 있어.,Work & Office,guseul
600,We were supposed to finish this yesterday.,were supposed to,우리 어제까지 이걸 끝내기로 되어 있었는데.,Work & Office,guseul
601,If the system crashes what am I supposed to do?,what am I supposed to do?,시스템이 충돌하면 내가 뭘 해야 해?,Work & Office,guseul
602,You said 'we'll see.' What's that supposed to mean?,What's that supposed to mean?,'두고 보자'고 했는데 그게 무슨 뜻이야?,Work & Office,guseul
603,I'm between jobs right now but I'm actively looking.,looking,지금은 구직 중이지만 열심히 찾고 있어.,Work & Office,guseul
604,Here's my card. Let's keep in touch.,keep in touch,명함 드릴게요. 계속 연락해요.,Work & Office,guseul
605,The chef sent out an extra dish. It's on the house.,on the house,셰프가 추가 요리를 보내줬어. 서비스래.,Social,guseul
606,It's your birthday. Everything is my treat today.,my treat,오늘 네 생일이잖아. 오늘은 다 내가 살게.,Social,guseul
607,Meeting my best friends was the best thing about college.,college,가장 친한 친구들을 만난 게 대학 시절 최고의 일이었어.,Meetings,guseul
608,She's out of the office this week. I'll have her contact you.,out of the office,이번 주에 자리를 비우셨어요. 연락드리라고 할게요.,Work & Office,guseul
609,Are you a morning person? I can never wake up early.,person,아침형 인간이야? 나는 일찍 일어나는 게 너무 힘들어.,Work & Office,guseul
610,I'm thinking about taking a semester off to travel.,taking a semester off,여행하려고 한 학기 휴학할까 생각 중이야.,Work & Office,guseul
611,She's on maternity leave so I'm covering for her.,maternity leave,그녀가 출산 휴가 중이라서 내가 대신하고 있어.,Work & Office,guseul
612,This is time-sensitive. Can you put everything else on hold?,time-sensitive,이건 급한 일이야. 다른 건 잠깐 미뤄도 될까?,Meetings,guseul
613,The team delivered a great turnaround on a really tight deadline.,turnaround,팀이 매우 촉박한 마감에도 빠르게 훌륭하게 처리했어.,Meetings,guseul
614,She's always so responsive. I get a reply within minutes.,responsive,그녀는 항상 빠르게 반응해. 몇 분 안에 답장이 와.,Work & Office,guseul
615,Hey you wanted to see me? I just got your message.,you wanted to see me?,"안녕하세요, 부르셨어요? 방금 메시지 받았어요.",Work & Office,guseul
616,I can't promise anything but I'll see what I can do.,I'll see what I can do,약속은 못 하지만 어떻게 되는지 해볼게요.,Work & Office,guseul
617,Do you validate parking for customers?,validate parking,고객들 주차 승인해주시나요?,Daily Life,guseul
618,Before we wrap up let's do a quick recap of today's decisions.,recap,마무리하기 전에 오늘 결정 사항들을 빠르게 요약해보자.,Meetings,guseul
619,Where did we leave off last time? I lost my notes.,off,저번에 어디까지 했지? 노트를 잃어버렸어.,Work & Office,guseul
620,You said there were issues. Could you elaborate a bit more?,elaborate,문제가 있다고 했는데 좀 더 자세히 말해줄 수 있어?,Work & Office,guseul
621,Could you walk me through the sign-up process?,walk me through,가입 절차를 차근차근 설명해줄 수 있나요?,Work & Office,guseul
622,I missed the kickoff meeting. Can someone fill me in?,fill me in,킥오프 미팅에 못 갔어. 누가 설명해줄 수 있어?,Meetings,guseul
623,Feel free to reach out anytime if you have questions.,Feel free to,질문이 있으시면 언제든지 편하게 연락 주세요.,Email & Phone,guseul
624,The proposal is almost there. It just needs a few tweaks.,tweak,제안서가 거의 다 됐어. 몇 가지만 살짝 수정하면 돼.,Meetings,guseul
625,Before deciding let's go over the pros and cons.,pros and cons,결정하기 전에 장단점을 살펴보자.,Meetings,guseul
626,I need to weigh my options before committing to anything.,weigh,뭔가에 헌신하기 전에 선택지를 잘 따져봐야 해.,Work & Office,guseul
627,Finishing the client report is my top priority today.,priority,오늘 클라이언트 보고서 완성이 1순위야.,Work & Office,guseul
628,We need to prioritize the most urgent tasks first.,prioritize,가장 긴급한 업무부터 먼저 처리해야 해.,Work & Office,guseul
629,I'd be happy to cover your shift if you need a day off.,I'd be happy to,네가 하루 쉬어야 한다면 내가 기꺼이 대신할게.,Work & Office,guseul
630,The food's here. Enjoy your lunch!,Enjoy your lunch,음식 나왔어요. 맛있게 드세요!,Social,guseul
631,Have a great weekend and enjoy the rest of your week!,rest of,좋은 주말 보내고 남은 한 주도 잘 마무리해요!,Work & Office,guseul
632,Are you enjoying the new neighborhood?,enjoy,새 동네는 마음에 들어?,Work & Office,guseul
633,Sorry to keep you waiting. The train was delayed.,Sorry to keep you waiting,기다리게 해서 미안. 기차가 연착됐어.,Daily Life,guseul
634,Could you excuse me for just a moment? I need to take this call.,excuse,잠깐 실례해도 될까요? 이 전화 받아야 해서요.,Work & Office,guseul
635,No please go ahead. I'll order after you.,go ahead,"아니요, 먼저 하세요. 저는 그다음에 주문할게요.",Social,guseul
636,Sorry to interrupt but there's an urgent call for you.,Sorry to interrupt,"방해해서 죄송한데요, 급한 전화가 왔어요.",Work & Office,guseul
637,I wish I had more time to travel.,wish,여행할 시간이 더 많으면 좋을텐데.,Emotions & Opinions,guseul
638,I wish I could join you but I have a prior commitment.,wish I could join you but,같이 가고 싶은데 선약이 있어.,Emotions & Opinions,guseul
639,Could you help me out with the heavy lifting?,help me out with,짐 드는 거 좀 도와줄 수 있어?,Work & Office,guseul
640,I wish you all the best in your new role.,wish,새 역할에서 모든 일이 잘 되기를 바랍니다.,Emotions & Opinions,guseul
641,Wish me luck! I'm going into my final interview.,Wish me luck!,잘 되길 빌어줘! 마지막 면접 들어가.,Work & Office,guseul
642,"Break a leg tonight, not that you need it.",not that you need it,오늘 밤 잘하고 와. 뭐 네가 잘하겠지.,Work & Office,guseul
643,I hope everything goes smoothly on your end.,hope,거기서도 다 순조롭게 진행되길 바라.,Work & Office,guseul
644,What's your biggest takeaway from today's training?,takeaway,오늘 교육에서 가장 크게 배운 점이 뭐야?,Daily Life,guseul
645,Would you prefer a table or a booth?,booth,테이블 자리를 원하세요 아니면 부스 자리를 원하세요?,Social,guseul
646,The weather is perfect today. Let's sit on the patio.,patio,오늘 날씨가 완벽해. 야외 테라스에 앉자.,Social,guseul
647,How many people are in your party tonight?,party,오늘 밤 일행이 총 몇 분이세요?,Social,guseul
648,The reservation should be under Kim. K-I-M.,under,예약이 Kim으로 되어 있을 거예요. K-I-M.,Social,guseul
649,I made a reservation for two at 7 PM.,made a reservation,오후 7시에 2명으로 예약했어.,Social,guseul
650,We don't need sparkling. Tap water's fine for the table.,Tap water,탄산수는 필요 없어요. 수돗물로 주세요.,Work & Office,guseul
651,This is just a first draft. I'll refine it after getting your feedback.,draft,이건 그냥 첫 번째 초안이야. 피드백 받은 후에 다듬을게.,Work & Office,guseul
652,Does the steak come with sides or are they extra?,Does the steak come with,스테이크에 사이드가 포함돼 있나요 아니면 추가요금인가요?,Work & Office,guseul
653,Can you give us a minute? We haven't looked at the menu yet.,Can you give us a minute?,잠깐만 주시겠어요? 아직 메뉴를 못 봤어요.,Social,guseul
654,We can't finish this. Can we get a to-go box?,to-go box,다 못 먹겠어. 포장 용기 좀 받을 수 있을까요?,Work & Office,guseul
